ALTA;D03A  AGENTES CURATIVOS-HERIDA;B. BRAUN AESCULAP DE MEXICO S.;LINOVERA;2017-06-01;LINOVERA EMULSION 30 ML;ALOE VERA + CENTELLA ASIATICA + GINKGO BILOBA + ROMERO;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-09-01;KAMILODERM JABON BARRA 100 G;MATRICARIA CHAMOMILLA + RETINOL;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;1995-08-01;FITOESTIMULINA CREMA 30 G;FENOXIETANOL + TRITICUM VULGARE;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 110 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 110 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 110 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;AMERICAN MEXICO;PASTA LASSAR;2004-09-01;PASTA LASSAR TARRO 30 G;OXIDO DE ZINC;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;JOHNSON+JOHNSON CO;DESITIN UNGT;2016-02-01;DESITIN UNGT UNG ORIGINAL 57 G;OXIDO DE ZINC;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 35 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 35 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 35 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-04-01;2016-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 35 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 35 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2015-09-01;DERMATOLONA ATOMIZA BEBE 100 ML;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2015-09-01;DERMATOLONA ATOMIZA BEBE 100 ML;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2015-09-01;DERMATOLONA ATOMIZA BEBE 100 ML;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;DERMATOLONA;2015-09-01;DERMATOLONA ATOMIZA BEBE 100 ML;ACIDO ACEXAMICO + BROMURO DE CETRIMONIO;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;SILANES CORP.;GRANULOX;2014-10-01;GRANULOX SPRAY 20 ML;HEMOGLOBINA CARBOXILICA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;SILANES CORP.;GRANULOX;2014-10-01;GRANULOX SPRAY 20 ML;HEMOGLOBINA CARBOXILICA;2017-08-01;2017-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE VI LIG L;2015-01-01;RESTYLANE VI LIG L AMP 1 ML;ACIDO HIALURONICO;2016-04-01;2016-08-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE LIDOCAIN;2013-04-01;RESTYLANE LIDOCAIN JGA PRELLEN 1 ML;ACIDO HIALURONICO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE LIDOCAIN;2013-04-01;RESTYLANE LIDOCAIN JGA PRELLEN 1 ML;ACIDO HIALURONICO;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE LIDOCAIN;2013-04-01;RESTYLANE LIDOCAIN JGA PRELLEN 1 ML;ACIDO HIALURONICO;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE LIDOCAIN;2013-04-01;RESTYLANE LIDOCAIN JGA PRELLEN 1 ML;ACIDO HIALURONICO;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE LIDOCAIN;2013-04-01;RESTYLANE LIDOCAIN JGA PRELLEN 1 ML;ACIDO HIALURONICO;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;SURGIDERM XP;2012-09-01;SURGIDERM XP JGA 24 1 0.4 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;SURGIDERM XP;2012-09-01;SURGIDERM XP JGA 24 1 0.4 ML;ACIDO HIALURONICO;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;SURGIDERM XP;2012-09-01;SURGIDERM XP JGA 24 1 0.4 ML;ACIDO HIALURONICO;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE PERL LID;2013-04-01;RESTYLANE PERL LID JGA PRELLEN 1 ML;ACIDO HIALURONICO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE PERL LID;2013-04-01;RESTYLANE PERL LID JGA PRELLEN 1 ML;ACIDO HIALURONICO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE PERL LID;2013-04-01;RESTYLANE PERL LID JGA PRELLEN 1 ML;ACIDO HIALURONICO;2017-04-01;2017-08-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2017-03-01;BEPANTHEN POMADA 5 % 100G +AFRI PURE BA BY;DEXPANTENOL;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;RECOVERON;1974-07-01;RECOVERON UNGT 5 % 40 G;ACIDO ACEXAMICO;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA 5 % 100 G;DEXPANTENOL;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA 5 % 100 G;DEXPANTENOL;2014-08-01;2014-12-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA 5 % 100 G;DEXPANTENOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA 5 % 100 G;DEXPANTENOL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA 5 % 100 G;DEXPANTENOL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-03-01;KAMILODERM CREMA FCO 100 G;MATRICARIA CHAMOMILLA + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-03-01;KAMILODERM CREMA FCO 100 G;MATRICARIA CHAMOMILLA + RETINOL;2017-04-01;2017-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-03-01;KAMILODERM CREMA FCO 100 G;MATRICARIA CHAMOMILLA + RETINOL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;KAMILODERM;1997-03-01;KAMILODERM CREMA FCO 100 G;MATRICARIA CHAMOMILLA + RETINOL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;2009-01-01;HIPOGLOS PLUS POMADA 110G+ HIPO PLUS 45 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-04-01;2014-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;PFIZER CORPORATION;GELFOAM;1900-12-01;GELFOAM ESPJ.NO 100 100;HEMOSTATICO TOPICO;2014-08-01;2014-12-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;PFIZER CORPORATION;GELFOAM;1900-12-01;GELFOAM ESPJ.NO 100 100;HEMOSTATICO TOPICO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;NORDIN,SA-QUIMICA FRANCO MEXI.;UNGT.DE LA MADRE;1900-12-01;UNGT.DE LA MADRE UNGT 40 G;ALANTOINA + ZINC;2017-08-01;2017-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;UCB PHARMA;CACIPLIQ 20;2012-04-01;CACIPLIQ 20 SOLN KIT 2 ML;POLISULFATO DE CARBOXIMETILGLUCOSA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PA;2017-08-01;HIPOGLOS PA POMADA TBO 45 G;ACIDO BORICO + ALANTOINA + OXIDO DE ZINC;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2018-03-01;BEPANTHEN POMADA REGEN MULT IUSOS 30 G;DEXPANTENOL;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;COLUMBIA CORP;GLOSSDERM;1992-06-01;GLOSSDERM POMADA 95 G;ACEITE DE HIGADO DE BACALAO + CLORURO DE BENZALCONIO + OXIDO DE ZINC;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;COLUMBIA CORP;GLOSSDERM;1992-06-01;GLOSSDERM POMADA 95 G;ACEITE DE HIGADO DE BACALAO + CLORURO DE BENZALCONIO + OXIDO DE ZINC;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;COLUMBIA CORP;GLOSSDERM;1992-06-01;GLOSSDERM POMADA 95 G;ACEITE DE HIGADO DE BACALAO + CLORURO DE BENZALCONIO + OXIDO DE ZINC;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLBELLA;2014-06-01;JUVEDERM VOLBELLA GELJGAWITHLI 15 MG /3MG 2 1 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;JUVEDERM VOLBELLA;2014-06-01;JUVEDERM VOLBELLA GELJGAWITHLI 15 MG /3MG 2 1 ML;ACIDO HIALURONICO;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;LINIDERM;2000-07-01;LINIDERM CRA 120 GR;ACEITE DE ALMENDRAS + HIDROXIDO DE CALCIO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;LINIDERM;2000-07-01;LINIDERM CRA 120 GR;ACEITE DE ALMENDRAS + HIDROXIDO DE CALCIO;2016-04-01;2016-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;LINIDERM;2000-07-01;LINIDERM CRA 120 GR;ACEITE DE ALMENDRAS + HIDROXIDO DE CALCIO;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;LINIDERM;2000-07-01;LINIDERM CRA 120 GR;ACEITE DE ALMENDRAS + HIDROXIDO DE CALCIO;2017-04-01;2017-08-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEX AMERICA;LINIDERM;2000-07-01;LINIDERM CRA 120 GR;ACEITE DE ALMENDRAS + HIDROXIDO DE CALCIO;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;2002-06-01;FITOESTIMULINA GASAS 4 G 10;FENOXIETANOL + TRITICUM VULGARE;2014-08-01;2014-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;2002-06-01;FITOESTIMULINA GASAS 4 G 10;FENOXIETANOL + TRITICUM VULGARE;2015-08-01;2015-12-01;lanzamiento
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;2002-06-01;FITOESTIMULINA GASAS 4 G 10;FENOXIETANOL + TRITICUM VULGARE;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAUSCH HEALTH;FITOESTIMULINA;2002-06-01;FITOESTIMULINA GASAS 4 G 10;FENOXIETANOL + TRITICUM VULGARE;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE;2012-09-01;RESTYLANE JGA PRELLEN 1 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE VITAL LI;2014-12-01;RESTYLANE VITAL LI JGA PRELLENA 1 ML;ACIDO HIALURONICO;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE VITAL LI;2014-12-01;RESTYLANE VITAL LI JGA PRELLENA 1 ML;ACIDO HIALURONICO;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2014-08-01;2014-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS PLUS;1995-07-01;HIPOGLOS PLUS POMADA TARRO 60 G;ALANTOINA + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;SURGIDERM XP;2012-09-01;SURGIDERM XP JGA 30 2 0.8 ML;ACIDO HIALURONICO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ALLERGAN;SURGIDERM XP;2012-09-01;SURGIDERM XP JGA 30 2 0.8 ML;ACIDO HIALURONICO;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS F;2013-07-01;HIPOGLOS F CRA 60G+ 33%;ALANTOINA + OXIDO DE ZINC + RETINOL;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;POEN VISION S.A. DE C.V.;PROCICAR;2001-02-01;PROCICAR CREMA TUBO 60 G;CALAMINA + OXIDO DE ZINC;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;POEN VISION S.A. DE C.V.;PROCICAR;2001-02-01;PROCICAR CREMA TUBO 60 G;CALAMINA + OXIDO DE ZINC;2015-08-01;2015-12-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;PFIZER CORPORATION;DEBRISAN;1979-07-01;DEBRISAN POLVO 60 G;DEXTRANOMERO;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL AMP 4 ML;COLAGENO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL AMP 4 ML;COLAGENO;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL AMP 4 ML;COLAGENO;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2005-01-01;HIPOGLOS CREMOSO BARRA STICK 60 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2005-01-01;HIPOGLOS CREMOSO BARRA STICK 60 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ARMSTRONG;RECOVERON-NC;2000-02-01;RECOVERON-NC CREMA TUBO 40 G;ACIDO ACEXAMICO + NEOMICINA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2018-09-01;BEPANTHEN POMADA 5 % 100G +30;DEXPANTENOL;2018-12-01;2019-04-01;BAJA, por demanda
