tendencia;claseterapeutica;corporacion;producto;fechalanzamiento;presentacion;moleculan1;fecini;fecend;tipo
ALTA;R05C  EXPECTORANTES;PROCTER&GAMBLE COR;VICK-44;1998-10-01;VICK-44 JBE NI/AD. 200 MG /15 120 ML;DEXTROMETORFANO + GUAIFENESINA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;PROCTER&GAMBLE COR;VICK-44;1998-10-01;VICK-44 JBE NI/AD. 200 MG /15 120 ML;DEXTROMETORFANO + GUAIFENESINA;2016-12-01;2017-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;PROCTER&GAMBLE COR;VICK-44;1998-10-01;VICK-44 JBE NI/AD. 200 MG /15 120 ML;DEXTROMETORFANO + GUAIFENESINA;2017-12-01;2018-04-01;lanzamiento
ALTA;R05C  EXPECTORANTES;BIOMEP S.A. DE C.V.;CLOXAN;2010-04-01;CLOXAN SOLN 300 MG 120 ML;AMBROXOL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;BIOMEP S.A. DE C.V.;CLOXAN;2010-04-01;CLOXAN SOLN 300 MG 120 ML;AMBROXOL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;BIOMEP S.A. DE C.V.;CLOXAN;2010-04-01;CLOXAN SOLN 300 MG 120 ML;AMBROXOL;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;BIOMEP S.A. DE C.V.;CLOXAN;2010-04-01;CLOXAN SOLN 300 MG 120 ML;AMBROXOL;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;SIEGFRIED-MED;AMINOEFEDRISON;1993-01-01;AMINOEFEDRISON JBE 150 ML;AMBROXOL + TEOFILINA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;SIEGFRIED-MED;AMINOEFEDRISON;1993-01-01;AMINOEFEDRISON JBE 150 ML;AMBROXOL + TEOFILINA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL;2003-02-01;BROGAL GTS PED 30 ML;AMBROXOL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL;2003-02-01;BROGAL GTS PED 30 ML;AMBROXOL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL;2003-02-01;BROGAL GTS PED 30 ML;AMBROXOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;CARNOT;ESTECLIN;1996-04-01;ESTECLIN SUSP 175 MG /5ML 90 ML;ERDOSTEINA;2016-04-01;2016-08-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CARNOT;ESTECLIN;1996-04-01;ESTECLIN SUSP 175 MG /5ML 90 ML;ERDOSTEINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;CARNOT;ESTECLIN;1996-04-01;ESTECLIN SUSP 175 MG /5ML 90 ML;ERDOSTEINA;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;NOVARTIS CORP.;ACC;2002-07-01;ACC TABL EFERV 200 MG 20;ACETILCISTEINA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;ARLEX;AMBROXOL G.I ARL;2005-03-01;AMBROXOL G.I ARL SOL 120 ML;AMBROXOL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;ARLEX;AMBROXOL G.I ARL;2005-03-01;AMBROXOL G.I ARL SOL 120 ML;AMBROXOL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;PROCTER&GAMBLE COR;VICK-44;2003-08-01;VICK-44 JBE MIEL 240 ML;DEXTROMETORFANO + GUAIFENESINA;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;PROCTER&GAMBLE COR;VICK-44;2003-08-01;VICK-44 JBE MIEL 240 ML;DEXTROMETORFANO + GUAIFENESINA;2017-12-01;2018-04-01;lanzamiento
ALTA;R05C  EXPECTORANTES;SANFER CORP.;BISOLVON;2011-02-01;BISOLVON LINCTUS 8 MG /5ML DUO 100+ 20 % GT;BROMHEXINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;SANFER CORP.;BISOLVON;2011-02-01;BISOLVON LINCTUS 8 MG /5ML DUO 100+ 20 % GT;BROMHEXINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;SANFER CORP.;BISOLVON;2011-02-01;BISOLVON LINCTUS 8 MG /5ML DUO 100+ 20 % GT;BROMHEXINA;2016-12-01;2017-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;QUIFA PERRIGO;HEDERA HELIX G.I Q;2018-01-01;HEDERA HELIX G.I Q JBE .7 G 100 ML;HEDERA HELIX;2018-12-01;2019-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CARNOT;BROXOL;1987-11-01;BROXOL TABL 30 MG 20;AMBROXOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;CARNOT;BROXOL;1987-11-01;BROXOL TABL 30 MG 20;AMBROXOL;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CARNOT;BROXOL;1987-11-01;BROXOL TABL 30 MG 20;AMBROXOL;2018-12-01;2019-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;DEGORTS;AMBROXOL G.I DEGOR;2018-12-01;AMBROXOL G.I DEGOR SOLN 120 ML;AMBROXOL;2018-12-01;2019-04-01;lanzamiento
ALTA;R05C  EXPECTORANTES;CARNOT;BROXOL;1987-12-01;BROXOL AMP. 15 MG 10 2 ML;AMBROXOL;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;CARNOT;BROXOL;1987-12-01;BROXOL AMP. 15 MG 10 2 ML;AMBROXOL;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;BRULUART;AMBROXOL G.I BRU;2008-01-01;AMBROXOL G.I BRU SOLN 120 ML;AMBROXOL;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;BRULUART;AMBROXOL G.I BRU;2008-01-01;AMBROXOL G.I BRU SOLN 120 ML;AMBROXOL;2018-12-01;2019-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;BAYER CORP.;AXOL DUO;2010-03-01;AXOL DUO SOLN 150 MG /40 120 ML;AMBROXOL + SALBUTAMOL;2016-04-01;2016-08-01;lanzamiento
BAJA;R05C  EXPECTORANTES;BAYER CORP.;AXOL DUO;2010-03-01;AXOL DUO SOLN 150 MG /40 120 ML;AMBROXOL + SALBUTAMOL;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;BAYER CORP.;AXOL DUO;2010-03-01;AXOL DUO SOLN 150 MG /40 120 ML;AMBROXOL + SALBUTAMOL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;BAYER CORP.;AXOL DUO;2010-03-01;AXOL DUO SOLN 150 MG /40 120 ML;AMBROXOL + SALBUTAMOL;2018-12-01;2019-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CARNOT;BROXOL;2015-12-01;BROXOL JBE+BUFANDA 15 MG /5ML 120 ML;AMBROXOL;2016-12-01;2017-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CARNOT;BROXOL;2015-12-01;BROXOL JBE+BUFANDA 15 MG /5ML 120 ML;AMBROXOL;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;I.Q.F.A.;AMBROXOL G.I I.Q.F;2007-09-01;AMBROXOL G.I I.Q.F SOLN 120 ML;AMBROXOL;2014-08-01;2014-12-01;lanzamiento
ALTA;R05C  EXPECTORANTES;I.Q.F.A.;AMBROXOL G.I I.Q.F;2007-09-01;AMBROXOL G.I I.Q.F SOLN 120 ML;AMBROXOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL COMPOSITUM;2003-01-01;BROGAL COMPOSITUM SOL 120 ML;AMBROXOL + CLENBUTEROL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL COMPOSITUM;2003-01-01;BROGAL COMPOSITUM SOL 120 ML;AMBROXOL + CLENBUTEROL;2016-04-01;2016-08-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL COMPOSITUM;2003-01-01;BROGAL COMPOSITUM SOL 120 ML;AMBROXOL + CLENBUTEROL;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL COMPOSITUM;2003-01-01;BROGAL COMPOSITUM SOL 120 ML;AMBROXOL + CLENBUTEROL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;CORPORATIVO RAYERE;BROGAL COMPOSITUM;2003-01-01;BROGAL COMPOSITUM SOL 120 ML;AMBROXOL + CLENBUTEROL;2018-12-01;2019-04-01;lanzamiento
ALTA;R05C  EXPECTORANTES;DEGORTS;AMBROX/LORAT G.I D;2009-10-01;AMBROX/LORAT G.I D SOLN 120 ML;AMBROXOL + LORATADINA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;R05C  EXPECTORANTES;DEGORTS;AMBROX/LORAT G.I D;2009-10-01;AMBROX/LORAT G.I D SOLN 120 ML;AMBROXOL + LORATADINA;2017-12-01;2018-04-01;lanzamiento
BAJA;R05C  EXPECTORANTES;DEGORTS;AMBROX/LORAT G.I D;2009-10-01;AMBROX/LORAT G.I D SOLN 120 ML;AMBROXOL + LORATADINA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;R05C  EXPECTORANTES;ASTRAZENECA CORP.;BRICANYL EX;1987-12-01;BRICANYL EX JBE 200 ML;GUAIFENESINA + TERBUTALINA;2016-04-01;2016-08-01;lanzamiento
ALTA;R05C  EXPECTORANTES;SANFER CORP.;MUCOSOLVAN;2012-08-01;MUCOSOLVAN JBE 15 MG /5ML 100 ML;AMBROXOL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;R05C  EXPECTORANTES;SANFER CORP.;MUCOSOLVAN;2012-08-01;MUCOSOLVAN JBE 15 MG /5ML 100 ML;AMBROXOL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;1990-09-01;DANZEN TABL 30;SERRATIO PEPTIDASA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;1990-09-01;DANZEN TABL 30;SERRATIO PEPTIDASA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;1990-09-01;DANZEN TABL 30;SERRATIO PEPTIDASA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;1990-09-01;DANZEN TABL 30;SERRATIO PEPTIDASA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;2002-04-01;DANZEN TABL 10 MG 20;SERRATIO PEPTIDASA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;SANFER CORP.;DANZEN;2002-04-01;DANZEN TABL 10 MG 20;SERRATIO PEPTIDASA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;ROMSA;WOBENZYM;1995-02-01;WOBENZYM GRAG ENTERIC 200;BROMELINA + PANCREATINA + PAPAINA;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;ROMSA;WOBENZYM;1995-08-01;WOBENZYM GRAG ENTERIC 60;BROMELINA + PANCREATINA + PAPAINA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;MANUELL;RIDASA;1987-03-01;RIDASA VIAL 25 ML;DESOXIRRIBONUCLEASA + RIBONUCLEASA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;MANUELL;RIDASA;1987-03-01;RIDASA VIAL 25 ML;DESOXIRRIBONUCLEASA + RIBONUCLEASA;2014-12-01;2015-04-01;ALTA, por demanda
ALTA;V03H  ENZIMAS ANTIINFLAMATORIA;ROMSA;PHLOGENZYM;1997-06-01;PHLOGENZYM GRAG ENTERIC 60;BROMELINA + RUTINA + TRIPSINA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;ZURICH PHARMA;AMZUPLAR;2017-01-01;AMZUPLAR AMP 500 MG 1 10 ML;AMIFOSTINA;2016-12-01;2017-04-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;ASOFARMA;ETHYOL;1997-01-01;ETHYOL V.INFUS LIOF 500 MG 10 ML;AMIFOSTINA;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;ASOFARMA;ETHYOL;1997-01-01;ETHYOL V.INFUS LIOF 500 MG 10 ML;AMIFOSTINA;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;V03D  AG.DEXINTOXIFICANTES TRA;SANFER CORP.;UROMES;2003-02-01;UROMES AMP 400 MG 5 4 ML;MESNA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;SANFER CORP.;UROMES;2003-02-01;UROMES AMP 400 MG 5 4 ML;MESNA;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;SANFER CORP.;UROMES;2003-02-01;UROMES AMP 400 MG 5 4 ML;MESNA;2017-12-01;2018-04-01;ALTA, por demanda
BAJA;V03D  AG.DEXINTOXIFICANTES TRA;SANFER CORP.;UROMES;2003-02-01;UROMES AMP 400 MG 5 4 ML;MESNA;2018-04-01;2018-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;MESNA G.I PIS;2008-10-01;MESNA G.I PIS AMP 400 MG 5 4 ML;MESNA;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;NOVOCAREL;2004-09-01;NOVOCAREL VIAL LIOF 400 MG 5 4 ML;MESNA;2016-12-01;2017-04-01;ALTA, por demanda
BAJA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;NOVOCAREL;2004-09-01;NOVOCAREL VIAL LIOF 400 MG 5 4 ML;MESNA;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;ASOFARMA;CARDIOXANE;2004-11-01;CARDIOXANE AMP 500 MG;DEXRAZOXANO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;ASOFARMA;CARDIOXANE;2004-11-01;CARDIOXANE AMP 500 MG;DEXRAZOXANO;2018-04-01;2018-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;INNEFOL;2011-06-01;INNEFOL AMP 50 MG 1 4 ML;FOLINATO CALCICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;INNEFOL;2011-06-01;INNEFOL AMP 50 MG 1 4 ML;FOLINATO CALCICO;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;INNEFOL;2011-06-01;INNEFOL AMP 50 MG 1 4 ML;FOLINATO CALCICO;2016-12-01;2017-04-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;INNEFOL;2011-06-01;INNEFOL AMP 50 MG 1 4 ML;FOLINATO CALCICO;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;V03D  AG.DEXINTOXIFICANTES TRA;PISA;INNEFOL;2011-06-01;INNEFOL AMP 50 MG 1 4 ML;FOLINATO CALCICO;2017-12-01;2018-04-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;BAUSCH HEALTH;LEUFOTEC;2010-07-01;LEUFOTEC TABL 15 MG 12;FOLINATO CALCICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;V03D  AG.DEXINTOXIFICANTES TRA;BAUSCH HEALTH;LEUFOTEC;2010-07-01;LEUFOTEC TABL 15 MG 12;FOLINATO CALCICO;2016-12-01;2017-04-01;ALTA, por demanda
BAJA;V03D  AG.DEXINTOXIFICANTES TRA;BAUSCH HEALTH;LEUFOTEC;2010-07-01;LEUFOTEC TABL 15 MG 12;FOLINATO CALCICO;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;N06D  NOOTROPICOS;UCB PHARMA;NOOTROPIL;1991-08-01;NOOTROPIL CAPS 800 MG 30;PIRACETAM;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;UCB PHARMA;NOOTROPIL;1991-08-01;NOOTROPIL CAPS 800 MG 30;PIRACETAM;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;N06D  NOOTROPICOS;UCB PHARMA;NOOTROPIL;1991-08-01;NOOTROPIL CAPS 800 MG 30;PIRACETAM;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;N06D  NOOTROPICOS;UCB PHARMA;NOOTROPIL;1991-08-01;NOOTROPIL CAPS 800 MG 30;PIRACETAM;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;SANFER CORP.;LUCEBANOL;2000-10-01;LUCEBANOL GRAG 30 MG 30;IDEBENONA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;UCB PHARMA;NOOTROPIL;1978-11-01;NOOTROPIL SOLN 200 MG /ML 120 ML;PIRACETAM;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;MERCK;ENCEPHABOL;1985-10-01;ENCEPHABOL GRAG. 200 MG 24;PIRITINOL;2014-12-01;2015-04-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;MERCK;ENCEPHABOL;1985-10-01;ENCEPHABOL GRAG. 200 MG 24;PIRITINOL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;MERCK;ENCEPHABOL;1985-10-01;ENCEPHABOL GRAG. 200 MG 24;PIRITINOL;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;N06D  NOOTROPICOS;ALMIRALL, S.A. DE C.V.;METADIEMIL;2011-05-01;METADIEMIL SOLN 180 ML;DIHIDROERGOCRISTINA + PIRACETAM;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;N06D  NOOTROPICOS;MERCK;ENCEPHABOL;1977-06-01;ENCEPHABOL SUSP 100 MG /5ML 120 ML;PIRITINOL;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;N06D  NOOTROPICOS;MERCK;ENCEPHABOL;1977-06-01;ENCEPHABOL SUSP 100 MG /5ML 120 ML;PIRITINOL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;EXPANSCIENCE MEXICO;MUSTELA BB;2017-04-01;MUSTELA BB SHAMPO SUAVE MZAN 500 ML;ACEITE DE COCO + MATRICARIA CHAMOMILLA;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;EXPANSCIENCE MEXICO;MUSTELA BB;2017-04-01;MUSTELA BB SHAMPO SUAVE MZAN 500 ML;ACEITE DE COCO + MATRICARIA CHAMOMILLA;2018-08-01;2018-12-01;lanzamiento
ALTA;D11A  OTROS PROD.DERMATOLOGICO;EXPANSCIENCE MEXICO;MUSTELA BB;2017-04-01;MUSTELA BB SHAMPO SUAVE MZAN 500 ML;ACEITE DE COCO + MATRICARIA CHAMOMILLA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;NOVADERM;1996-10-01;NOVADERM CREMA 2 % 71 G;ACIDO GLICOLICO;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;NOVADERM;1996-10-01;NOVADERM CREMA 2 % 71 G;ACIDO GLICOLICO;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;NOVADERM;1996-10-01;NOVADERM CREMA 2 % 71 G;ACIDO GLICOLICO;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;NOVADERM;1996-10-01;NOVADERM CREMA 2 % 71 G;ACIDO GLICOLICO;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;NOVADERM;1996-10-01;NOVADERM CREMA 2 % 71 G;ACIDO GLICOLICO;2016-08-01;2016-12-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;CARNOT;VITANOIN;2014-06-01;VITANOIN CAP INTENSIV 30;ACIDO ASCORBICO + ALFATOCOFEROL;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;CARNOT;VITANOIN;2014-06-01;VITANOIN CAP INTENSIV 30;ACIDO ASCORBICO + ALFATOCOFEROL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;CARNOT;VITANOIN;2014-06-01;VITANOIN CAP INTENSIV 30;ACIDO ASCORBICO + ALFATOCOFEROL;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;CARNOT;VITANOIN;2014-06-01;VITANOIN CAP INTENSIV 30;ACIDO ASCORBICO + ALFATOCOFEROL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;CARNOT;VITANOIN;2014-06-01;VITANOIN CAP INTENSIV 30;ACIDO ASCORBICO + ALFATOCOFEROL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;GOICOECHEA;2007-12-01;GOICOECHEA CRA REAFIRMA 400 ML;AESCULUS HIPPOCASTANUM + CENTELLA ASIATICA;2014-04-01;2014-08-01;lanzamiento
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;GOICOECHEA;2007-12-01;GOICOECHEA CRA REAFIRMA 400 ML;AESCULUS HIPPOCASTANUM + CENTELLA ASIATICA;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;GOICOECHEA;2007-12-01;GOICOECHEA CRA REAFIRMA 400 ML;AESCULUS HIPPOCASTANUM + CENTELLA ASIATICA;2016-12-01;2017-04-01;lanzamiento
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;GOICOECHEA;2007-12-01;GOICOECHEA CRA REAFIRMA 400 ML;AESCULUS HIPPOCASTANUM + CENTELLA ASIATICA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;GOICOECHEA;2007-12-01;GOICOECHEA CRA REAFIRMA 400 ML;AESCULUS HIPPOCASTANUM + CENTELLA ASIATICA;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;NESTLE CO;ELVALY;2014-04-01;ELVALY GEL 5 MG /G 30 G;BRIMONIDINA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;NESTLE CO;ELVALY;2014-04-01;ELVALY GEL 5 MG /G 30 G;BRIMONIDINA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;NESTLE CO;ELVALY;2014-04-01;ELVALY GEL 5 MG /G 30 G;BRIMONIDINA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;NESTLE CO;ELVALY;2014-04-01;ELVALY GEL 5 MG /G 30 G;BRIMONIDINA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;SISVITE;2016-05-01;SISVITE CAPS C 28 0.5ML +LEN TE;ACIDO ASCORBICO;2016-08-01;2016-12-01;lanzamiento
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GRISI CORP.;FOLCRESS;2017-02-01;FOLCRESS SOL 5 % 2/60 ML+SH FOLC PA CK/4;MINOXIDIL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GRISI CORP.;FOLCRESS;2017-02-01;FOLCRESS SOL 5 % 2/60 ML+SH FOLC PA CK/4;MINOXIDIL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;GRISI CORP.;FOLCRESS;2017-02-01;FOLCRESS SOL 5 % 2/60 ML+SH FOLC PA CK/4;MINOXIDIL;2018-04-01;2018-08-01;lanzamiento
BAJA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;PROZONE SUNCAPS;2010-08-01;PROZONE SUNCAPS CAPS HIDRO 30;ACIDO ASCORBICO + ALFATOCOFEROL + RETINOL;2014-04-01;2014-08-01;lanzamiento
BAJA;D11A  OTROS PROD.DERMATOLOGICO;DARIER,SA DE CV,LABS DERMAT;PROZONE SUNCAPS;2010-08-01;PROZONE SUNCAPS CAPS HIDRO 30;ACIDO ASCORBICO + ALFATOCOFEROL + RETINOL;2014-12-01;2015-04-01;lanzamiento
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOVE;PILOPEPTAN SEB;2017-01-01;PILOPEPTAN SEB CAPS 30;NICOTINAMIDA + PIRIDOXINA + RIBOFLAVINA;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOVE;PILOPEPTAN SEB;2017-01-01;PILOPEPTAN SEB CAPS 30;NICOTINAMIDA + PIRIDOXINA + RIBOFLAVINA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D11A  OTROS PROD.DERMATOLOGICO;GENOVE;PILOPEPTAN SEB;2017-01-01;PILOPEPTAN SEB CAPS 30;NICOTINAMIDA + PIRIDOXINA + RIBOFLAVINA;2018-04-01;2018-08-01;ALTA, por demanda
BAJA;D11A  OTROS PROD.DERMATOLOGICO;GRISI CORP.;EXCELSIOR;1900-12-01;EXCELSIOR UNGT  TOP. 10 8 G;ACIDO SALICILICO;2014-08-01;2014-12-01;lanzamiento
BAJA;D11A  OTROS PROD.DERMATOLOGICO;GENOMA LAB INT;SISTEMA GB;2012-06-01;SISTEMA GB SOL ALOPECIA 60 ML;CLOBETASOL + MINOXIDIL + TRETINOINA;2016-12-01;2017-04-01;lanzamiento
